Generation	ProgID	Fitness	BScore	SatCount	NodeCount	Similarity%	Waste%	Depth	Length	Functions	Terminals	DTerminals	ModD
36	17740413	0.0	0.0	0.5	9	75.18382352941177	93.48268839103869	15	491	231	260	5	8
35	9066661	0.0	0.0	0.5	9	69.48529411764706	92.5754060324826	15	431	202	229	5	20
50	19422843	0.0	0.0	0.5	9	100.0	94.47322970639033	17	579	273	306	5	12
49	23364195	0.0	0.0	0.5	9	94.99136442141624	94.20289855072464	17	552	259	293	5	13
48	15075934	0.0	0.0	0.5	9	94.64594127806562	94.2133815551537	17	553	259	294	5	20
50	22211108	0.0	0.0	0.5	9	100.0	93.37474120082815	17	483	228	255	5	12
49	15139323	0.0	0.0	0.5	9	94.31372549019608	93.72549019607843	17	510	242	268	5	8
48	12048244	0.0	0.0	0.5	9	93.62549800796812	93.62549800796812	17	502	239	263	5	9
47	29379590	0.0	0.0	0.5	9	92.98597194388778	93.5871743486974	17	499	237	262	5	13
46	1023560	0.0	0.0	0.5	9	96.06625258799171	93.31941544885177	17	479	227	252	5	12
45	28841125	0.0	0.0	0.5	9	95.0413223140496	93.38842975206612	17	484	227	257	5	6
44	4884983	0.0	0.0	0.5	9	93.16770186335404	93.30543933054393	17	478	223	255	5	5
43	14182629	0.0	0.0	0.5	9	92.54658385093167	93.29140461215934	17	477	223	254	5	14
42	5022475	0.0	0.0	0.5	9	91.92546583850931	93.26315789473684	17	475	223	252	5	10
41	23029	0.0	0.0	0.5	9	91.30434782608695	93.29140461215934	17	477	225	252	5	13
40	12116679	0.0	0.0	0.5	9	90.6832298136646	93.27731092436974	17	476	225	251	5	9
39	11355025	0.0	0.0	0.5	9	89.85507246376811	93.24894514767934	17	474	225	249	5	10
38	7525605	0.0	0.0	0.5	9	89.23395445134575	93.3609958506224	17	482	229	253	5	11
37	13261376	0.0	0.0	0.5	9	87.99171842650104	93.31941544885177	17	479	227	252	5	9
36	21406487	0.0	0.0	0.5	9	81.15942028985508	92.85714285714286	17	448	214	234	5	11
35	17960685	0.0	0.0	0.5	9	79.91718426501035	92.7927927927928	17	444	213	231	5	20
50	9041582	0.0	0.0	0.5	9	100.0	94.0959409594096	17	542	258	284	5	10
49	3363265	0.0	0.0	0.5	9	99.44649446494465	94.08502772643253	17	541	258	283	5	9
48	29118089	0.0	0.0	0.5	9	98.33948339483395	94.02985074626866	17	536	255	281	5	11
47	32858535	0.0	0.0	0.5	9	97.60147601476015	94.00749063670412	17	534	255	279	5	8
46	11346824	0.0	0.0	0.5	9	95.44626593806922	94.1712204007286	17	549	261	288	5	0
45	27874776	0.0	0.0	0.5	9	95.44626593806922	94.1712204007286	17	549	261	288	5	10
44	17416013	0.0	0.0	0.5	9	90.45138888888889	94.44444444444444	17	576	275	301	5	5
43	842868	0.0	0.0	0.5	9	89.62432915921288	94.27549194991055	17	559	266	293	5	9
42	28909973	0.0	0.0	0.5	9	82.65682656826569	93.68836291913215	17	507	241	266	5	8
41	9293807	0.0	0.0	0.5	9	82.10332103321034	93.75	17	512	244	268	5	8
40	17264786	0.0	0.0	0.5	9	81.73431734317343	93.81044487427465	17	517	246	271	5	11
39	7916459	0.0	0.0	0.5	9	75.64575645756457	93.44262295081968	15	488	231	257	5	9
38	5602395	0.0	0.0	0.5	9	75.64575645756457	93.46938775510203	15	490	231	259	5	12
37	31225742	0.0	0.0	0.5	9	75.09225092250922	93.4560327198364	15	489	231	258	5	9
36	17740413	0.0	0.0	0.5	9	75.09225092250922	93.48268839103869	15	491	231	260	5	8
35	9066661	0.0	0.0	0.5	9	69.74169741697416	92.5754060324826	15	431	202	229	5	20
50	27400911	0.0	0.0	0.5	9	100.0	93.67588932806325	17	506	243	263	5	13
49	9190498	0.0	0.0	0.5	9	99.40828402366864	93.68836291913215	17	507	243	264	5	11
48	30533386	0.0	0.0	0.5	9	99.0138067061144	93.68836291913215	17	507	243	264	5	8
47	19425177	0.0	0.0	0.5	9	98.61660079051383	93.66336633663367	17	505	242	263	5	5
46	11605581	0.0	0.0	0.5	9	86.36363636363636	92.7765237020316	17	443	212	231	5	10
45	8786515	0.0	0.0	0.5	9	86.16600790513834	92.80898876404494	17	445	213	232	5	5
44	32190111	0.0	0.0	0.5	9	85.57312252964427	92.80898876404494	17	445	213	232	5	20
50	16523052	0.0	0.0	0.5	9	100.0	93.67588932806325	17	506	236	270	5	13
49	26092663	0.0	0.0	0.5	9	99.60474308300395	93.66336633663367	17	505	236	269	5	20
50	6470567	0.0	0.0	0.5	9	100.0	93.02832244008714	17	459	221	238	5	16
49	26000741	0.0	0.0	0.5	9	99.56521739130434	93.04347826086956	17	460	221	239	5	5
48	33015521	0.0	0.0	0.5	9	96.29629629629629	92.85714285714286	17	448	215	233	5	5
47	24600030	0.0	0.0	0.5	9	96.07843137254902	92.85714285714286	17	448	215	233	5	11
46	8038902	0.0	0.0	0.5	9	94.77124183006535	92.7765237020316	17	443	212	231	5	0
45	29984942	0.0	0.0	0.5	9	94.77124183006535	92.7765237020316	17	443	212	231	5	7
44	17892731	0.0	0.0	0.5	9	94.55337690631809	92.7927927927928	17	444	213	231	5	0
43	8498575	0.0	0.0	0.5	9	94.55337690631809	92.7927927927928	17	444	213	231	5	0
42	19427002	0.0	0.0	0.5	9	94.55337690631809	92.7927927927928	17	444	213	231	5	11
41	27646656	0.0	0.0	0.5	9	93.89978213507625	92.7765237020316	17	443	213	230	5	13
40	30969189	0.0	0.0	0.5	9	93.24618736383442	92.7765237020316	17	443	213	230	5	13
39	17960685	0.0	0.0	0.5	9	92.81045751633987	92.7927927927928	17	444	213	231	5	20
50	912860	0.0	0.0	0.5	9	100.0	94.2133815551537	17	553	263	290	5	5
49	3363265	0.0	0.0	0.5	9	97.64918625678119	94.08502772643253	17	541	258	283	5	9
