G	P1PT	P1SC	P1NC	P2PT	P2SC	P2NC	CPT	CSC	CNC
1	1.0	0.5	1	3.0	0.8125	4	1.0	0.25	2
1	3.0	0.5	4	4.0	0.75	5	1.0	0.5	1
1	3.0	0.5	4	4.0	0.75	5	5.0	0.625	5
1	2.0	0.75	2	2.0	0.375	3	2.0	0.75	2
1	2.0	0.75	2	2.0	0.375	3	3.0	0.375	5
1	7.0	0.5625	10	2.0	0.75	2	9.0	0.4375	11
1	7.0	0.5625	10	2.0	0.75	2	3.0	0.875	3
1	3.0	0.625	4	5.0	0.8125	5	2.0	0.75	2
1	3.0	0.625	4	5.0	0.8125	5	4.0	0.6875	5
1	3.0	0.25	5	1.0	0.25	2	1.0	0.25	2
1	3.0	0.25	5	1.0	0.25	2	3.0	0.25	5
1	3.0	0.15625	6	12.0	0.65625	12	1.0	0.0625	4
1	3.0	0.15625	6	12.0	0.65625	12	10.0	0.75	10
1	3.0	0.625	3	4.0	0.75	5	4.0	0.4375	6
1	3.0	0.625	3	4.0	0.75	5	4.0	0.75	5
1	2.0	0.375	4	2.0	0.375	3	1.0	0.25	2
1	2.0	0.375	4	2.0	0.375	3	2.0	0.375	4
1	1.0	0.25	2	2.0	0.5	3	1.0	0.25	2
1	1.0	0.25	2	2.0	0.5	3	1.0	0.5	1
1	2.0	0.375	3	1.0	0.25	2	1.0	0.25	2
1	2.0	0.375	3	1.0	0.25	2	2.0	0.75	2
1	2.0	0.75	2	8.0	0.625	9	1.0	0.5	1
1	2.0	0.75	2	8.0	0.625	9	8.0	0.59375	10
1	1.0	0.5	1	3.0	0.25	5	2.0	0.75	2
1	1.0	0.5	1	3.0	0.25	5	1.0	0.125	3
1	1.0	0.5	1	2.0	0.5	3	2.0	0.5	3
1	1.0	0.5	1	2.0	0.5	3	1.0	0.5	1
1	1.0	0.25	2	4.0	0.5	6	4.0	0.5	6
1	1.0	0.25	2	4.0	0.5	6	1.0	0.25	2
1	6.0	0.71875	7	3.0	0.25	5	6.0	0.71875	7
1	6.0	0.71875	7	3.0	0.25	5	3.0	0.09375	7
1	1.0	0.25	2	4.0	0.75	5	2.0	0.5	3
1	1.0	0.25	2	4.0	0.75	5	3.0	0.625	4
1	2.0	0.75	2	3.0	0.25	6	6.0	0.6875	6
1	2.0	0.75	2	3.0	0.25	6	1.0	0.25	2
1	2.0	0.75	2	7.0	0.5625	10	2.0	0.75	2
1	2.0	0.75	2	7.0	0.5625	10	7.0	0.5625	10
1	1.0	0.25	2	8.0	0.625	9	2.0	0.5	3
1	1.0	0.25	2	8.0	0.625	9	10.0	0.5625	9
1	2.0	0.375	3	9.0	0.5	11	2.0	0.75	2
1	2.0	0.375	3	9.0	0.5	11	2.0	0.375	3
1	1.0	0.5	1	2.0	0.375	3	3.0	0.875	3
1	1.0	0.5	1	2.0	0.375	3	1.0	0.125	3
1	1.0	0.5	1	2.0	0.375	4	1.0	0.5	1
1	1.0	0.5	1	2.0	0.375	4	1.0	0.5	1
1	3.0	0.5	4	2.0	0.5	3	2.0	0.5	3
1	3.0	0.5	4	2.0	0.5	3	3.0	0.5	4
1	1.0	0.25	2	6.0	0.71875	7	3.0	0.875	3
1	1.0	0.25	2	6.0	0.71875	7	8.0	0.65625	9
1	3.0	0.8125	4	2.0	0.75	2	3.0	0.875	3
1	3.0	0.8125	4	2.0	0.75	2	1.0	0.25	2
1	1.0	0.5	1	5.0	0.8125	5	2.0	0.75	2
1	1.0	0.5	1	5.0	0.8125	5	1.0	0.5	1
1	7.0	0.5625	10	2.0	0.75	2	8.0	0.5	10
1	7.0	0.5625	10	2.0	0.75	2	3.0	0.875	3
1	2.0	0.75	2	2.0	0.375	4	3.0	0.5	4
1	2.0	0.75	2	2.0	0.375	4	1.0	0.5	1
1	1.0	0.5	1	2.0	0.375	3	1.0	0.5	1
1	1.0	0.5	1	2.0	0.375	3	1.0	0.5	1
1	1.0	0.5	1	6.0	0.71875	7	3.0	0.4375	4
1	1.0	0.5	1	6.0	0.71875	7	9.0	0.6875	10
1	9.0	0.5	11	6.0	0.71875	7	1.0	0.5	1
1	9.0	0.5	11	6.0	0.71875	7	6.0	0.71875	7
1	1.0	0.5	1	2.0	0.375	3	2.0	0.75	2
1	1.0	0.5	1	2.0	0.375	3	1.0	0.5	1
